TSAGI SR-5S (smoothed by David Lednicer)
      129.      128.

  0.000000  0.000000
  0.000145  0.001759
  0.000576  0.003524
  0.001285  0.005297
  0.002262  0.007072
  0.003502  0.008837
  0.005006  0.010576
  0.006788  0.012277
  0.008864  0.013943
  0.011244  0.015586
  0.013925  0.017223
  0.016893  0.018862
  0.020135  0.020500
  0.023646  0.022129
  0.027424  0.023747
  0.031463  0.025353
  0.035757  0.026938
  0.040308  0.028497
  0.045116  0.030026
  0.050184  0.031529
  0.055505  0.033008
  0.061074  0.034460
  0.066888  0.035881
  0.072947  0.037273
  0.079244  0.038634
  0.085775  0.039964
  0.092536  0.041260
  0.099524  0.042523
  0.106734  0.043750
  0.114161  0.044941
  0.121801  0.046094
  0.129648  0.047208
  0.137699  0.048282
  0.145948  0.049315
  0.154391  0.050305
  0.163023  0.051250
  0.171838  0.052150
  0.180832  0.053005
  0.190001  0.053812
  0.199340  0.054572
  0.208843  0.055284
  0.218504  0.055947
  0.228318  0.056562
  0.238280  0.057128
  0.248384  0.057643
  0.258623  0.058109
  0.268992  0.058524
  0.279486  0.058890
  0.290096  0.059204
  0.300816  0.059467
  0.311642  0.059679
  0.322564  0.059839
  0.333576  0.059947
  0.344672  0.060001
  0.355843  0.059999
  0.367083  0.059943
  0.378385  0.059825
  0.389744  0.059645
  0.401157  0.059401
  0.412618  0.059091
  0.424122  0.058714
  0.435668  0.058270
  0.447253  0.057757
  0.458871  0.057178
  0.470519  0.056533
  0.482194  0.055822
  0.493891  0.055049
  0.505607  0.054214
  0.517337  0.053321
  0.529077  0.052371
  0.540822  0.051365
  0.552567  0.050310
  0.564307  0.049206
  0.576037  0.048057
  0.587752  0.046866
  0.599446  0.045637
  0.611112  0.044372
  0.622745  0.043075
  0.634339  0.041749
  0.645887  0.040398
  0.657384  0.039025
  0.668822  0.037633
  0.680196  0.036226
  0.691500  0.034808
  0.702724  0.033380
  0.713863  0.031949
  0.724911  0.030517
  0.735860  0.029088
  0.746702  0.027665
  0.757431  0.026251
  0.768041  0.024851
  0.778522  0.023469
  0.788867  0.022107
  0.799069  0.020769
  0.809120  0.019461
  0.819012  0.018183
  0.828736  0.016943
  0.838285  0.015744
  0.847647  0.014591
  0.856810  0.013489
  0.865759  0.012437
  0.874485  0.011433
  0.882977  0.010475
  0.891230  0.009563
  0.899234  0.008694
  0.906987  0.007866
  0.914485  0.007082
  0.921720  0.006346
  0.928684  0.005659
  0.935370  0.005023
  0.941768  0.004439
  0.947869  0.003907
  0.953663  0.003426
  0.959143  0.002994
  0.964299  0.002608
  0.969126  0.002264
  0.973618  0.001959
  0.977772  0.001691
  0.981582  0.001455
  0.985045  0.001251
  0.988157  0.001074
  0.990916  0.000924
  0.993320  0.000797
  0.995365  0.000693
  0.997049  0.000609
  0.998369  0.000545
